# Ag_JC_EC, m=1.000000, gscat=0.000000
# 1 0 0 2 3 = columns for wave, Re(n), Im(n), eps1, eps2    
#    #LAMBDA(um)     eps1(Real)     eps2(Imag)
     0.61000000   -18.97024988     0.17461298
     0.61200000   -19.10140692     0.17633603
     0.61400000   -19.23299315     0.17807039
     0.61600000   -19.36500856     0.17981607
     0.61800000   -19.49745316     0.18157313
     0.62000000   -19.63032694     0.18334159
     0.62200000   -19.76362991     0.18512150
     0.62400000   -19.89736205     0.18691289
     0.62600000   -20.03152337     0.18871580
     0.62800000   -20.16611387     0.19053026
     0.63000000   -20.30113355     0.19235632
     0.63200000   -20.43658240     0.19419401
     0.63400000   -20.57246043     0.19604336
     0.63600000   -20.70876762     0.19790441
     0.63800000   -20.84550399     0.19977721
     0.64000000   -20.98266953     0.20166178
     0.64200000   -21.12026424     0.20355817
     0.64400000   -21.25828811     0.20546640
     0.64600000   -21.39674115     0.20738653
     0.64800000   -21.53562336     0.20931858
     0.65000000   -21.67493472     0.21126259
     0.65200000   -21.81467525     0.21321860
     0.65400000   -21.95484494     0.21518664
     0.65600000   -22.09544379     0.21716676
     0.65800000   -22.23647179     0.21915898
     0.66000000   -22.37792895     0.22116335
     0.66200000   -22.51981527     0.22317991
     0.66400000   -22.66213074     0.22520868
     0.66600000   -22.80487536     0.22724971
     0.66800000   -22.94804913     0.22930303
     0.67000000   -23.09165205     0.23136868
     0.67200000   -23.23568412     0.23344671
     0.67400000   -23.38014533     0.23553713
     0.67600000   -23.52503569     0.23764000
     0.67800000   -23.67035519     0.23975534
     0.68000000   -23.81610384     0.24188320
     0.68200000   -23.96228162     0.24402361
     0.68400000   -24.10888854     0.24617661
     0.68600000   -24.25592460     0.24834223
     0.68800000   -24.40338980     0.25052052
     0.69000000   -24.55128413     0.25271151
     0.69200000   -24.69960760     0.25491523
     0.69400000   -24.84836019     0.25713172
     0.69600000   -24.99754192     0.25936103
     0.69800000   -25.14715278     0.26160318
     0.70000000   -25.29719276     0.26385822
     0.70200000   -25.44766187     0.26612617
     0.70400000   -25.59856010     0.26840709
     0.70600000   -25.74988746     0.27070100
     0.70800000   -25.90164393     0.27300794
     0.71000000   -26.05382953     0.27532794
     0.71200000   -26.20644425     0.27766106
     0.71400000   -26.35948808     0.28000731
     0.71600000   -26.51296103     0.28236675
     0.71800000   -26.66686309     0.28473940
     0.72000000   -26.82119426     0.28712530
     0.72200000   -26.97595455     0.28952449
     0.72400000   -27.13114394     0.29193701
     0.72600000   -27.28676244     0.29436289
     0.72800000   -27.44281005     0.29680217
     0.73000000   -27.59928676     0.29925489
     0.73200000   -27.75619258     0.30172108
     0.73400000   -27.91352750     0.30420079
     0.73600000   -28.07129152     0.30669404
     0.73800000   -28.22948463     0.30920087
     0.74000000   -28.38810684     0.31172133
